ID,lat,long,test,test2
VC1,44.2186,-114.94216,1,2
VC2,44.22178,-114.93154,1,2
YFK,44.28761,-114.72075,1,2
USE,45.02894,-113.91589,1,2
USI,44.89038,-113.96258,1,2
BHC,45.11777,-113.7413,1,2
BTC,44.68811,-113.37041,1,2
CAC,44.69197,-113.35468,1,2
HYC,44.86159,-113.63215,1,2
KEN,45.02703,-113.65801,1,2
LLR,45.17635,-113.88512,1,2
LLS,44.77865,-113.54208,1,2
LRW,44.86612,-113.62475,1,2
TAY,45.10387,-114.8497,1,2
ESS,44.95621,-115.53315,1,2
KRS,44.9784,-115.727,1,2
SFG,45.17575,-115.57998,1,2
ZEN,45.0333,-115.73302,1,2
SC1,46.13685,-115.98091,1,2
SC2,46.12749,-115.9773,1,2
LC1,46.29443,-115.97612,1,2
LC2,46.29056,-115.93415,1,2
LAP,46.44327,-116.81254,1,2
MIS,46.36706,-116.7356,1,2
SWT,46.36979,-116.79508,1,2
WEB,46.32599,-116.83197,1,2
HLM,46.79921,-116.42869,1,2
JUL,46.56574,-116.70954,1,2
KHS,46.61912,-116.64685,1,2
BSC,45.50649,-116.85067,1,2
COC,45.76774,-116.74404,1,2
IR1,45.76112,-116.75066,1,2
IR2,45.74284,-116.76456,1,2
IR3,45.49004,-116.80393,1,2
JOC,46.03002,-117.01604,1,2
UGR,45.59334,-117.90312,1,2
ACB,46.32545,-117.10852,1,2
ACM,46.34137,-117.05571,1,2
AFC,46.2723,-117.29243,1,2
CCA,46.28846,-117.2825,1,2
LTR,46.54419,-118.1629,1,2
MTR,46.50526,-118.01628,1,2
TFH,46.30965,-117.65715,1,2
UTR,46.41584,-117.73832,1,2
